parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
θ₁,2.4009558920405287,0.17363744981931564,0.0027454491426611495,0.00426497821239232,1607.852103786797,1.0023070466316308,0.00673548571663879
θ₂,3.095033191579079,0.18721552982810502,0.002960137438060017,0.004253408510630972,2139.293910834846,0.9998204407146828,0.00896175932238051
θ₃,3.37377325683998,0.2100565916803663,0.003321286336209667,0.003995100241709775,2792.6184883209817,1.0001909997853398,0.011698614503042354
θ₄,4.746436816982108,0.18795001898855587,0.0029717507313786647,0.0036594948909816805,2347.1755238839582,1.0011679963019537,0.00983260038552707
θ₅,0.5221872585886865,0.21511514049254954,0.0034012690157178586,0.004042071283922266,2646.1226038904742,1.0005881450847691,0.011084925635263946
θ₆,4.780321482890263,0.12932630606458403,0.0020448284427006624,0.0024384890225296768,3318.956613504842,1.0001579156799922,0.013903508172024001
θ₇,1.7201894795308843,0.13277412850540699,0.0020993433021048702,0.0022137501613011764,3593.0002735441817,0.9996340468901916,0.01505151000228136
θ₈,-8.05833384550731,0.1839176258508818,0.0029079929976972498,0.0037257011361395156,2717.099718556276,1.0007355837683698,0.011382257299609073
θ₉,-1.8946995132684676,0.08082065841173051,0.0012778868128775751,0.001183030432812655,5802.657949287828,1.0003468072247175,0.024308031593154072
θ₁₀,-2.2995169875278285,0.04595105046061738,0.0007265499016644013,0.0005735393452077273,4845.593980810441,0.9993448475999398,0.020298775596034165
θ₁₁,-2.241700242954873,0.062110533825355294,0.0009820537678852676,0.0007819255182741253,6081.569336904772,0.9996214314612191,0.02547642491930476
Ω₁,₁,0.1975255606220585,0.12910313909422058,0.0020412998630763234,0.0025462989422460267,2318.919566442231,1.000330146259368,0.009714232783612395
Ω₂,₁,-0.029385235575072662,0.09148421767904624,0.001446492489122145,0.0018836597773008255,2323.7546133513847,0.9997934615693367,0.009734487376257567
Ω₃,₁,-0.0010643842542455387,0.08907564634564627,0.0014084096325194817,0.002033893386043529,1768.532879294313,1.0029607857146463,0.007408596798074939
Ω₄,₁,0.0433499058069039,0.09240957132752965,0.001461123614973917,0.0019249328323139997,2488.621422712926,1.000010149097569,0.0104251342566436
Ω₅,₁,0.0005211610028077265,0.09058741687548529,0.0014323128233885358,0.0018622480693329768,1962.3623131111208,1.0007977991816377,0.008220571593432367
Ω₆,₁,-0.019298051118071435,0.07845489533517068,0.0012404808142462932,0.0013774454893337932,2678.4313170412092,1.0006070921754955,0.011220270717959818
Ω₇,₁,0.01706929826696148,0.08401825087374641,0.0013284451889223536,0.0020192692390853173,2020.5710893570495,1.0013178695945446,0.008464415153461358
Ω₈,₁,0.040045667165733365,0.08788068978137746,0.0013895157102791875,0.0017839382658764026,2247.821111132692,1.0014519007873703,0.009416392808726259
Ω₂,₂,0.22494047233605916,0.14699589018065098,0.0023242090982741855,0.003053206561752029,2154.1510912439,1.0019941215966435,0.009023997836855207
Ω₃,₂,-0.009223797279949774,0.0906514348353187,0.0014333250362096898,0.0018533592525135497,2086.510389069197,0.9999988946420995,0.008740642805451436
Ω₄,₂,-0.058514805778798876,0.11204811771591726,0.00177163629758481,0.002463705921675067,1969.928145406489,1.0006939238342734,0.008252265774283899
Ω₅,₂,0.0022575237935629753,0.0920258149013889,0.0014550558931072624,0.001449802948261414,2576.373631155968,1.0000243083485012,0.010792738805084079
Ω₆,₂,0.011217539043574535,0.07933663602651513,0.001254422358697793,0.001667186751686156,2377.8228888501885,1.0000837406038698,0.009960985880994278
Ω₇,₂,0.03049131839872166,0.08729499298486765,0.0013802550308030118,0.0019337318141012464,1973.7296452788414,1.00141106770426,0.00826819071416595
Ω₈,₂,-0.01591388260925209,0.09283945742554651,0.0014679207109947955,0.0018598580031444505,2296.001606500584,1.0010105821060307,0.009618226694819832
Ω₃,₃,0.17663544361496897,0.12412629618297184,0.001962609067294277,0.003080587754352152,1378.0087679375526,1.0036812892507292,0.005772644357019263
Ω₄,₃,-0.004545049330001174,0.09666208385445942,0.001528361741791398,0.002259201218028237,1761.2817239643737,0.999913960338669,0.007378220836853812
Ω₅,₃,0.026036242349288995,0.10619114586676573,0.001679029441410775,0.002917243063493997,1111.5225678346349,1.0043027958956914,0.004656301634795504
Ω₆,₃,0.005075396712021522,0.07901643689392912,0.001249359565878883,0.002177056579189319,1374.4267021008582,1.002376461183993,0.005757638652687197
Ω₇,₃,-0.0011401434529834656,0.08480958514265971,0.0013409572823239045,0.001841111336804959,2036.1259503323065,1.0008528244051569,0.008529576335684769
Ω₈,₃,0.004107116657355965,0.10265726153003457,0.0016231538239524555,0.0031450833677709854,1192.6506675877679,1.0033157767805303,0.00499615699575707
Ω₄,₄,0.24891430335770542,0.1705639292135086,0.0026968525149120956,0.003822956298388764,1688.899221923715,1.0036469023370824,0.007075001835876542
Ω₅,₄,-0.01574567747136927,0.1026901649139612,0.001623674072132131,0.002311288029146543,1745.3111533783783,1.0003900833875088,0.0073113181971052954
Ω₆,₄,-0.00512413682396322,0.08249314775488811,0.00130433119131126,0.0020427397849575586,1792.0348500275513,1.0004948279621984,0.007507049378267962
Ω₇,₄,-0.019037097152140005,0.09126257585853711,0.0014429880242343698,0.0020171940727502814,1915.6134253518771,0.9998591310142851,0.008024734883681798
Ω₈,₄,0.020488657735963804,0.10138183665184068,0.001602987585954778,0.002431986542027419,2019.6916770213893,1.0032266733479973,0.008460731189487355
Ω₅,₅,0.18519297624268866,0.1515425426768152,0.0023960979863600295,0.004354548072155162,1219.8872229904482,1.0031126971614643,0.005110254200004358
Ω₆,₅,-0.0020735497291089174,0.09091300075296366,0.0014374607564998402,0.0027231386203389607,1195.9952131175285,1.0023434012696004,0.005010167698974919
Ω₇,₅,0.0077686020899838774,0.08691253224748882,0.0013742077955744888,0.001814416597274372,2387.70236527267,0.9997718523686997,0.010002372195179998
Ω₈,₅,-0.0022709085050260135,0.1175688836061066,0.0018589272707926366,0.0038975716689687943,985.1307012590859,1.003415451379023,0.0041268309141900906
Ω₆,₆,0.15286299234368747,0.1026993170737655,0.0016238187804845884,0.0025923607840928073,1628.6385413106952,1.0023012351290068,0.0068225626018275955
Ω₇,₆,-0.012733976438596174,0.07141103754592065,0.0011291076436045512,0.001699527130706562,2129.9836583373717,1.00087825666473,0.008922757555633837
Ω₈,₆,-0.01193752970557918,0.0896105745940212,0.001416867590767627,0.0021457800029864725,1458.5620507196197,1.001628723873452,0.006110091740599589
Ω₇,₇,0.18045551248487657,0.11979511725118175,0.0018941271154033184,0.0026858507824379587,1544.7313266413732,1.0050735892172986,0.006471065194449694
Ω₈,₇,0.018522951204580116,0.08913099196969992,0.0014092847236721463,0.001897459212811752,1988.3523543510341,1.0034503660514533,0.008329447000028533
Ω₈,₈,0.19141352818948631,0.15105408153332625,0.0023883747375504525,0.00544953951992826,1164.2356019430763,1.0082471944022655,0.0048771228704563565
